Localidad,Categoría ,Prestadores,Web,Funcionamiento,Observaciones,Dirección,Teléfono fijo,WhatsApp,Plazas totales
VG,Departamentos con servicios,Alma Natura  ,Si,Abierto todo el año. Cerrado por reformas. Abre en septiembre,,Paseo 128 Nº 118,(02255) 45-7548,5492255534397,40
VG,Hotel 2*,Adriático,No,No figura en la web.,,Avenida Buenos Aires N° 174, (02255) 46-8358,,
VG,Camping,Áfrika,Oculto,Oculto en web.,,,(02255) 45-8507,,800
VG,Apart Hotel,Alpemar ,Si,Abierto todo el año.,,Avenida 1 e/ Paseos 114 y 115,(02255) 45-2510 ,5491140447616,86
VG,Hostería 2*,Anchimalen  ,Si,Reabre en octubre.,,Avenida 4 y Paseo 106,(02255) 46-2380 / 47-2380,5492255414066 / 5492255621007 ,40
VG,Hotel 2*,Arco Iris  ,Si,Abre el 27/12,,Paseo 107 Nº 199 y Avenida 2,(02255) 46-7844,5491161779041,60
VG,Departamentos con servicios,Arenas Blandas ,Si,Abierto todo el año.,,Calle 310 e/ Alamedas 206 bis y 207,(02255) 47-8481 ,5492255478481,112
VG,Sin categorizar,Armony  ,Si,Abierto todo el año.,,Avenida 8 Nº 649 e/ Paseos 106 y 107,(02255) 46-2544,5491136978349,38
VG,Hotel,Augusta - SUTECBA  ,Si,Abierto T.A.,,Avenida 2 Nº 817 e/ Paseos 108 y 109,(02255) 45-8167,,55
VG,Hotel 2*,Bamba  ,Si,Abierto T.A.,,Paseo 108 Nº 176 e/ Avenidas 1 y 2,(02255) 46-2681,5492255408639,35
VG,Hotel 1*,Bariloche  ,Si,Cerrado hasta fin de año.,,Paseo Costanero Nº 63 e/ Avenida Buenos Aires y Calle 301,No posee.,5492233406912,62
VG,Sin categorizar,Barracuda  ,Si,Abre los fines de semana.,,Paseo Costanero y Paseo 121 N° 6,(02255) 46-3260,5491122555771,32
VG,Hosteria 2*,Bavaria ,Si,Abre en octubre.,,Avenida 3 Nº 2361,(02255) 46-2361,5491124002215,22
VG,Hotel 2*,Bella Vista  ,Si,Reabre en octubre.,,Paseos 114 Nº 256 e/ Avenidas 1 y 3,(02255) 46-2293,5491167677040/ 5492235031971,50
VG,Sin categorizar,Boiano  ,Si,Abierto T.A.  Abre 27 de diciembre,,Avenida 3 Nº 3570 e/ Paseos 135 y 136,(02255) 46-6121,5492255532063,53
VG,Camping,Cáravan  ,Si,Cerrado hasta 24/12,,Circunvalación y Paseo 101,,5492267400845,1200
VG,Camping,Casablanca ,Si,"Abierto todo el año. Consultar junto al Camping de Ingenieros.
",,Avenida 3 y Paseo 172,(022525) 47-0771,5492215549045,480
VG,Hostería 3*,Casablanca  ,Si,Abierto todo el año.,,Avenida 1 y Paseo 103 bis,(02255) 46-8763,5492255605441,42
VG,Hotel 2*,Castilla  ,Si,Abre en noviembre.,,Avenida Buenos Aires Nº 76,(02255) 46-4100 / 5982,5492255607680,100
VG,Hostería 1*,Ceferino  ,Si,Abre el 16 de diciembre.,No pedir tarifas,Paseo 117 Nº 279 e/ Avenidas 2 y 3,(02255) 46-2502 / 2267631142 / 2255507333,5492255507333,54
VG,Hotel 2*,Cervantes  ,Si,Abre el 20 de noviembre,,Avenida 3 Nº 2007 y Paseo 120,(02255) 46-2435,5492255420101,100
VG,Hostería,Chaltú ,Si,Abre el 19/12,,Calle 308 e/ Alamedas 201 y 205, (02255) 45-8801,5492255410868,34
VG,Sin categorizar,Citymar  ,Si,Abierto todo el año.,,Paseo 119 Nº 135 e/ Avenidas 1 y 2,(02255) 46-2348,5492255525311,110
VG,Hotel 2*,Cocco´s  ,Si,abren el 29/12,, Avenida 1 Nº 1018 e/ Paseos 110 y 111,(02255) 46-2580,5492267452593,54
VG,Hotel,Colonial  ,Si,"Abre en diciembre.
",,Paseo 106 N° 498,(02255) 46-2351,5491158803187,63
VG,Apart Hotel,Complejo Sakura  ,Si,Abierto todo el año.,No pedir tarifas,Avenida 1 Nº 1847 e/ Paseos 118 y 119,(02255) 46-7766,5492267531565 / 5492267676202 ,72
VG,Hosteria 2*,Conti  ,Si,Abre en T.A.,,Paseo 109 Nº 354 e/ Avenidas 3 y 4,(02255) 46-2032 ,5491138814133,34
VG,Hostería ,Costa Azul  ,Si,Abre en noviembre,,Paseo 141 Nº 231 e/ Avenidas 2 y 3,(02255) 47-6035,5492255607131 / 5492255410556 ,39
VG,Sin categorizar,Costa Imperial ,Si,Abre los fines de semana.,,Paseo 140 e/ Avenidas 4 y 5,(02255) 47-8138,5492255417247 / 5492255420116,46
VG,Apart Hotel,Cote D´or ,Si,Abierto todo el año Abre el 20/12,Llamar por la mañana,Paseo Costanero Norte Nº 361 E/ Paseo 103 Bis y 104,(02255) 46-2198,Llamar por la mañana 5491145545381,40
VG,Apart Hotel,Cote D´or Express  ,Si,Abre el 13 de diciembre.,Llamar por la mañana,Pasaje Costanero Norte Nº 385 e/Paseos 103 bis y 104,(02255) 46-2198,Llamar por la mañana 5491145545381,80
VG,Sin categorizar,Crepúsculo ,Si,,,Avenida 10 Nº 514 e/ Paseo 105 y 106,1159802430,549135726545,64
LG,Sin categorizar,Altos Pampas,Si,Abierto T.A. Gremial,"Sin contacto, No pedir tarifas",Punta del Este y Calle 28,,,
VG,Sin categorizar,Danubio  ,Si,Reabre en octubre.,,Paseo 105 Nº 221 e/ Avenidas 2 y 3,(02255) 46-2328,,54
VG,Hotel 2*,Demi ,Si,Abre el 26/12,,Avenida 3 y Paseo 111,(02255) 46-2658,5492255573894,47
VG,Hotel 1*,Denis (Denisse) ,Si,Abierto T.A.,,Avenida 1 e/ Paseos 116 y 117, (02255) 46-2661,5491158803187,98
VG,Hosteria 2*,Dino´s  ,Si,Cerrado h. 17/08,,Avenida 3 Nº 1187 e/ Paseos 111 y 112,(02255) 46-2028,5491165283555,58
VG,Departamentos con servicios,Dock Playa  ,Si,Abierto todo el año.,,Paseo 151 e/ Avenidas 1 y 2,,5491159259813,75
VG,Sin categorizar,Domenico  ,Si,Abierto T.A.,"Solo enviar whaTsapp, no contestan el telefono para datos, por seguridad",Avenida 3 y Paseo 118 Nº 1787,No consultar ocupacion al fijo (02255) 47-6680 ,5492255414645,22
CM,Sin categorizar,Domos Park (Glamping),Si,Abierto todo el año.,,Paseo 162 y playa,No posee.,5491134127788,16
MDLP,Departamentos con servicios,Aquímequedo   ,No,Nuevos administradores no renovaron.,,Mercedes Sosa e/ Hudson y Cuyo Nº 131,(02255) 47-9884 // 11 3135-5902,5492255403903,65
VG,Sin categorizar,Dos Reyes  ,Si,Abierto todo el año.,,Paseo 105 Nº 367 e/ Avenidas 3 bis y 4,(02255) 45-4557,5492255525311,36
VG,Apart Hotel,Dulce Naranja ,Si,Abierto todo el año.,,Avenida 1 Nº 4380 y Paseo 144,,5491149695174,40
VG,Hostería 1*,Edelweiss  ,Si,Abierto T.A.,,Alameda 206 e/ Calles 303 y 304,(02255) 45-8033,5491128603161,37
VG,Hotel,Edith ,Si,"Abre fdsl, vacaciones  y temporada alta.",,Paseo 109 Nº 347 e/ Avenidas 3 y 4, (02255) 46-2304,5492255535547/ 5493402502480 ,63
VG,Hotería 1*,El Bosque  ,Si,Abierto todo el año.,,Avenida 3 Nº 1441 e/ Paseos 114 y 115,(02255) 46-2025,5492255532086,46
VG,Hotel 2*,El Cisne  ,Si,Abre el 25/12,,Avenida 4 Nº 330 e/ Paseos 102 y 104,(02255) 46-3456,5492233062571,52
LG,Apart Hotel,Arena Azul II,No,,,Calle 29 N° 73,,,
LG,Apart Hotel,Arena de Mar ,Si,Abierto todo el año.Solo propietarios,No pedir ocupacion,Punta del Este y Almirante Brown,No posee.,,36
VG,Apart Hotel,El Dragón de Oro  ,Si,Abre en diciembre.,,Avenida 1 Nº 807,(02255) 46-3309,5492267402048,104
VG,Hotel 2*,El Duri  ,Si,"Cerrado, reabre en diciembre.",,Paseo 116 Nº 245 e/ Avenidas 2 y 3,Bagu,5491136417798,70
VG,Apart Hotel,El Horreo  ,Si,"Cerro en marzo, Abre en noviembre.",Llamar por la mañana,Avenida 4 Nº 1458 e/ Paseos 114 y 115,(02255) 47-4458,Llamar por la mañana 5491168485281/ 5491160934458 ,47
VG,Camping,El Pucará  ,Si,Abierto todo el año.,,Calle 313 y Alameda 201,(02255) 45-8462,5492267527552,500
VG,Hospedaje,Arglahu,Si,Abierto T.A.,Sin contacto,Avenida 5 Nº 426 e/ Paseos 104 y 105,,,28
VG,Departamentos con servicios,El Viejo Jardín,Si,Abierto todo el año. ,No pedir tarifas,Avenida 4 Nº 624 entre Paseos 106 y 107,(02255) 45-4298,5492255508629,36
MDLP,Cabaña,Aroma´s ,Oculto,Oculto en web.,,Hudson N° 88 e/ Mercedes Sosa y J. V. González,(02255) 45-2882,,40
VG,Deptos con Servicios,Entreverdes  ,Si,Del 19/07 al 4/08 abrimos / cerrado por reformas h. el 20/11,,Calle 306 y Alameda 209,(02255) 47-0300/0236,5492255419995,44
VG,Departamentos con servicios,Espacio Marina,Si,Abierto todo el año,,Avenida 1 entre Paseos 150 y 151,,5491151545348,96
VG,Hostería 1*,Estilo Norte  ,Si,Abre el 15 de diciembre,,Alameda 201 Nº 761 e/ Calles 307 y 308,(02255) 46-5544,5491163813917,24
VG,Hotel 4*,Atlántico ,Si,,Malos tratos,Paseo Costanero y Paseo 105,(02255) 46-2561 ,1165401848,111
VG,Hostería 1*,Esturión Village ,Si,Abierto T.A.,,Paseo 108 Nº 199 y Avenida 2,(02255) 46-2047,5491145571656,31
VG,Hotel 2*,Flor de Lis  ,Si,Cerrado ,,Avenida 4 Nº 466 e/ Paseos 104 y 105,(02255) 46-2529,5491130083369/ 5491136120772,56
VG,Sin categorizar,Fontanet  ,Si,"Cerrado, h. 30/12",,Paseo 114 Nº 210,(02255) 45-7818 // 2255416090,5491151507765 / 54 9 2255 530559,100
VG,Hotel 2*,Gran Mar ,Si,,,Avenida 1 Nº 1932 e/ Paseos 119 y 120, (02255) 46-2083,5492255622534,64
VG,Hospedaje,Halloween,Si,Abierto T.A.,,Avenida 5 Nº 595 e/ Paseos 105 y 106, (02255) 46-2537,5491169747857,60
VG,Hotel 2*,Hansa  ,Si,Abre en diciembre.,,Alameda 205 y Calle 302,(02255) 45-8029,5492342449243,52
VG,Hostería 1*,Barca  ,Oculto,Oculto en web.,,Avenida 3 Nº 1416 e/ Paseos 114 y 115,(02255) 46-2223,2267662439,25
VG,Cabaña,Harmony  ,Si,Abierto todo el año.,,"Avenida 2 Nº 4854 e/ Paseos 148 y 149
",(02255) 46-0311,,65
VG,Sin categorizar,Hostería del Sur  ,Si,Abre 26/12,,Avenida 3 Nº 4734 e/ Paseos 147 y 148,(02255) 47-0358,5491136457755,43
VG,Hosteria 2*,Huentala  ,Si,Abre a fines de diciembre.,,Paseo 110 Nº 98 y Avenida 1,(02255) 46-2843,5492267469217/ 5491121722628,57
VG,Sin categorizar,Helvética ,Si,"Cerrado, abre en diciembre.",,Avenida 1 Nº 748 e/ Paseos 107 y 108,,,40
VG,Sin categorizar,Hola Ola  ,Si,Cerrado,,Avenida 5 Nº 474,,,34
VG,Sin categorizar,Ibiza  ,Si,Abierto todo el año.,,Avenida 3 Nº 3755 e/ Paseos 137 y 138,(02255) 47-6316,5492255410087 / 5491168021743,70
VG,Hotel 2*,Belle Maison ,No,No figura en la web.,,Avenida 4 N° 621,,,
VG,Hotel 2*,Belvedere ,Oculto,Oculto en web.,,Avenida Buenos Aires y Avenida 1,(02255) 46-8399,,69
VG,Hotel,Indiana (S.E.C. Lomas de Zamora),Si,Abierto T.A.,,Paseo 115 N° 44 e/ Paseo Costanero y Avenida 1,(02255) 46-2329,,44
VG,Sin categorizar,Intersur  ,Si,Abierto todo el año. ,No pedir tarifas,Paseo 111 Nº 18 y Paseo Costanero,(02255) 46-2579/ 2685,5492255573032,320
VG,Hostería 1*,Jabalí ,Si,Abierto T.A.,,Avenida 5 Nº 455 e/ Paseos 104 y 105,,5491168876235,48
VG,Cabaña,Ku´ei Cabañas   ,Si,Reabre en octubre.,,Avenida 1 y Paseo 148,(02255) 47-0794,5491140985319,60
VG,Apart Hotel,La Aguada  ,Si,"reabre en Vacaciones de Invierno
",No pedir tarifas,Alameda 201 N° 653 e/ 306 y 307,(02255) 47-2781,5491161518821,34
VG,Sin categorizar,La Curva,Si,Abierto T.A.,,Avenida 4 Nº 621 e/ Paseos 106 y 107,,5491138901517,17
VG,Hostel,La Deseada  ,Si,Cerrado H/ 26/12,,Avenida 6 Nº 1883 e/ Paseos 118 y 119,(02255) 47-3276,5492255404989,50
VG,Hotel 2*,La Fontana  ,Si,Abre el 26 de diciembre. ,,Paseo 109 Nº 48 e/ Paseo Costanero y Avenida 1,(02255) 46-2391,5491158820609,106
MA,Apart Hotel,Cabañas del Bosque (6 u),No,No figura en la web.,,Punta del Este y Calle 43,,,
VG,Hostería 1*,La Lomita  ,Si,Abre los fines de semana.,,Avenida 6 Nº 421  ,(02255) 46-8734 ,,32
VG,Departamentos con servicios,La Morada  ,Si,Abierto todo el año.,,Avenida 2 N° 1605 y Paseo 116,(02255) 46-2006,5492255409015,40
VG,Sin categorizar,La Palmera  ,Si,Abierto todo el año.,,Paseo 140 e/ Avenidas 3 y 4,(02255) 46-0551,5491137868102,29
LG,Cabaña ó Apart Hotel,Caleumen,Oculto,Oculto en web.,,Calle 33 e/ Copacabana y Punta del Este,(02255) 45-0260,,18
VG,Hostería 1*,Cámelot,No,No figura en la web.,,Avenida 1 N° 4917 entre Paseo 149 y 150,(02255) 45-6027,,
VG,Sin categorizar,La Redonda  ,Si,Abierto T.A.,,Avenida 1 Nº 996,(02255) 46-7848,,36
VG,Hostería 3*,Cantábrico,No,No figura en la web.,,Paseo 102 N° 221, (02255) 46-2835,5492255524867,
VG,Sin categorizar,Las Cuarenta  ,Si,Abierto todo el año.,,Avenida 4 y Paseo 140,(02255) 45-5477,5492255417742,100
VG,Sin categorizar,Las Golondrinas  ,Si,Abierto todo el año.,,Avenida 3 Nº 964 e/ Paseos 108 y 109,(02255) 46-8112 / 0950,5492255607112,90
VG,Sin categorizar,Las Grullas ,Si,Abierto todo el año.,,Avenida 5 N° 644,(02255) 45-7867,5491124002215 / 5492267418083 ,40
VG,Hostería 3*,Las Mutisias  ,Si,Abre el 20 diciembre.,,Avenida 1 N° 4615 y Paseo 146,(02255) 47-0316 ,5491168623691,54
VG,Hosteria 2*,Lindau ,Si,CERRADO H. EL 1 de enero,,Avenida 3 Nº 2342 e/ Paseos 123 y 124,(02255) 46-2766,5491144093215,40
VG,Cabaña,Loma Escondida  ,Si,Abierto todo el año ,,Avenida 1 y Paseo 141 bis,,5491162797184,70
VG,Hostería 1*,Los Amigos  ,Si,Abierto todo el año.,,Paseo 115 Nº 165 e/ Avenidas 1 y 2,(02255) 46-2804,5492255408786,32
VG,Hosteria,Tirol - Sindicato de Luz y Fuerza de Rosario  ,Si,Abierto T.A.,"No pasan ocupacion, solo trabajan con afiliados ", Paseo 110 Nº 226 e/ Avenidas 2 y 3,(02255) 46-2011,5493413737762,70
VG,Hotel 2*,Los Históricos - Asociación Mutual de Obreros y Empleados Municipales de Capital Federal (A.M.O.Y.E.M.)  ,Si,Abierto T.A.,,Avenida 1 y Paseo 107,(02255) 46-2916,5491158803187,120
VG,Hosteria 2*,Loucomen  ,Si,Abierto todo el año.,,Avenida 3 Nº 1739 e/ Paseos 117 y 118,(02255) 46-2023,5492255603185,43
VG,Sin categorizar,Magnolia (Ex Tobruck)  ,Si,Abierto todo el año.,,Paseo 140 N° 197 y Avenida 2,(02255) 47-6079,5491127134311,20
VG,Sin categorizar,Mallorca  ,Si,Abre el 26 diciembre,,Paseo 134 Nº 259 e/ Avenidas 2 y 3,(02255) 46-6163,5491164189549,50
VG,Departamentos con servicios,Malvinas Argentinas - Sindicato de Seguro de R. A.,Si,Abierto todo el año ,No pedir tarifas,Avenida 1 N° 1127,(02255) 47-7446,,48
VG,Sin categorizar,Maresias  ,Si,Abierto todo el año. Abren el 19/12,,Avenida 2 Nº 730,,5491124530099,45
VG,Departamentos con servicios,Marges  ,Si,Abierto todo el año.,,Avenida 1 Nº 489,(02255) 46-4006/3,5492255608609,184
VG,Hotel 2*,Marina  ,Si,Abre en octubre,,Avenida 2 y Paseo 108,(02255) 46-2228,5491158803187 / 5491158829901,70
VG,Hotel 2*,Massa  ,Si,Cierra 15/03. Reabre en S. S / f.s.l. / vac. de invierno. / Abre el 20 de  Diciembre.,,Avenida 1 Nº 721 e/ Paseos 107 y 108,(02255) 46-2226,5492255507333,52
VG,Hotel 2*,Medamar Playa  ,Si,cerrado hasta octubre ,,Paseo 111 Nº 11 y Playa,(02255) 45-3106 / 1138492396,5491130978113,46
VG,Sin categorizar,Michel  ,Si,"Cerrado, abre en diciembre.",, Paseo 101 Nº 496 e/ Avenida Buenos Aires y Avenida 5,(02255) 46-8203,5492255521526,47
VG,Sin categorizar,Montecarlo  ,Si,Abierto en T.A.,,Paseo 103 bis e/ Paseo Costanero y Avenida 1,(02255) 46-4410,5492255607112,74
VG,Apart Hotel,Natura Mar  ,Si,Abre el 22 de diciembre.,,Avenida 2 y Paseo 151,,5491123936130,66
VG,Hotel,Náutico - Unión de Empleados Judiciales de la Nación ,Si,Abierto todo el año.,,Paseo 119 e/ Avenidas 2 y 3,(02255) 46-2935 ,,100
VG,Hostería,Nirvana  ,Si,Abre en diciembre. abre el 24/12,,Avenida 2 y Paseo 126 bis N° 2649,,5493624625889,30
VG,Sin categorizar 2 *,Oasis  ,Si,No abrió en 2025.,,Avenida 3 Nº 1973 e/ Paseos 119 y 120,(02255) 46-2204,5492255627440,52
VG,Cabaña,Orillas del Mar ,Si,,,Avenida 1 Nº 2688 y Paseo 126, (02255) 45-7430,5492255436690,47
VG,Hotel 1*,Panorama,Si,Abierto todo el año.,,Avenida 1 Nº 826 e/ Paseos 108 y 109, (02255) 46-2263,5492255438110,70
VG,Cabaña,Patagonia Cabañas ,Si,Abierto todo el año.,,Alameda 205 Nº 536,(02255) 45-2190,5492267539371,36
VG,Hotel 2*,Portofino  ,Si,Abierto T.A. ,,Paseo 116 Nº 275 e/ Avenidas 2 y 3,(02255) 46-2202 ,5492255534856,72
VG,Sin categorizar,Posta Carretas  ,Si,Abre en octubre.,,Avenida 1 Nº 947 e/ Paseos 109 y 109 bis,(02255) 46-2526,5491138720651,42
VG,Departamentos con servicios,Proa  ,Si,Abierto todo el año.,,Avenida 1 Nº 5070,(02255) 46-5844,5491166530157,68
VG,Apart Hotel,Punta Norte  ,Si,Abierto todo el año.,,Alameda 201 y Calle 311,(02255) 45-0222,5491132531343,144
VG,Apart Hotel,Punto Sur  ,Si,Abierto todo el año.,,Avenida 1 bis N° 24 y Paseo 151,,5491139037294,100
VG,Hospedaje,Quick ,Si,Abierto T.A.,,Avenida 3 Nº 874 e/ Paseos 108 y 109,,5491162308999,40
VG,Hotel 3*,Reviens  ,Si,Abierto todo el año,,Paseo 104 Nº 417 e/ Avenidas 4 y 5,(02255) 46-5434,5493512455770,100
VG,Departamentos con servicios,Rincón del Sol  ,Si,Abierto todo el año.,,Paseo 131 Nº 145,(02255) 45-3738,5492245424620,60
VG,Hotel 2*,Romadrid,Si,cerrado h. el finde largo de octubre,,Paseo Costanero Norte Nº 33 y Av. Buenos Aires,No posee,5493416035108,57
VG,Hotel 2* ,Romina  ,Si,Abierto todo el año.,,Avenida 1 y Paseo 140,(02255) 47-6074,5492255607037,80
VG,Hotel 2*,La Terraza  ,Si,"Cerrado, este verano no abrio.",,Paseo 142 Nº 358 e/ Avenidas 3 y 4,(02255) 47-6031,5492235472003,33
VG,Apart Hotel,Saint Florentin  ,Si,Abierto todo el año.,,Costanera Nº 2032 e/ Paseos 119 y 121,(02255) 45-3720,5491130293139,42
VG,Hotel 3* superior,San Remo Palace ,Si,Abierto todo el año.,,Alameda 203 Nº 22 e/ Buenos Aires y Pinar del Norte,(02255) 46-8369,5492255485118,148
VG,Hotel 1*,Sekand ,Si,Abre en T.A. en enero,,Avenida 1 Nº 1638 e/ Paseos 116 y 117,(02255) 46-2036 ,5491123953978,60
VG,Hotel 2*,T 3 ,Si,Abierto T.A.,,Avenida 3 y Paseo 119,(02255) 46-3042,5492255525311,70
VG,Apart Hotel,Terranostra  ,Si,Abierto todo el año.,,Avenida 2 e/ Paseos 150 y 151,,5492255530522,56
VG,Apart Hotel,María Bonita  ,Si,Abre en noviembre.,,Paseo 106 Nº 365 e/ Avenidas 3 y 4,(02255) 46-5971,5492255553440,27
VG,Hotel 1*,Torremolinos ,Si,Abierto T.A.,,Paseo Costanero e/ Paseos 111 y 112,,5493854891857,70
VG,Sin categorizar,Toscana  ,Si,Cerrado h. 01/12,,Paseo 107 e/ Avenidas 1 y Costanera,(02255) 46-6765,5491154815348,44
VG,Hosteria 2*,Vagabonde  ,Si,Abre el 26 diciembre,,Avenida 2 Nº 3392 y Paseo 134,(02255) 46-6115,5491126084280,45
VG,Hotel 2*,Verona  ,Si,Abierto T.A. abre el 26/12,, Avenida 1 Nº 101 y Paseo 105,(02255) 46-2465,5492255423788,125
VG,Hotel 2*,Vesubio,Si,Abre en dicembre.,,Avenida 4 Nº 1258 e/ Paseos 112 y 113, (02255) 46-2748,5491138094732,80
VG,Hostería 2*,Del Navegante,No,No figura en la web.,,Paseo 124 N° 263,,,
VG,Apart Hotel,View Beach Apart Hotel & Spa,Si,Abre en vacaciones de invierno ya deja abierto para temporada.,,Paseo 136 y Playa,No posee.,5491163069989,50
VG,Hotel 4*,Villa Gesell Spa & Resort  ,Si,Abierto todo el año. cerrado por refaccion abre en noviembre,No llamar al fijo por ocupacion, Paseo Costanero Nº 736 e/ Paseos 107 y 108,No llamar al fijo por ocupacion (02255) 45-2020,5491137591282,144
VG,Cabaña,Villa Marina  ,Si,Abierto todo el año.,,Alameda 201 e/ Calles 310 y 311,(02255) 47-4128,5491168291321,26
VG,Apart Hotel,Villa Maya  ,Si,Abierto T.A. Cerrado hasta diciembre.,,Calle 308 e/ Alameda 205 y 206,(02255) 45-8047,5491163638624,40
VG,Gremial,Marítimo - Asoc. Argentina de Empleados de la Marina Mercante (A.A.E.M.M.)  ,Si,Abre en noviembre.,"No llamar, no dan info de ocupacion",Avenida 1 Nº 606 e/ Paseos 105 y 107,(02255) 46-2550,,119
VG,Hospedaje,Inti - Huasi  ,Si,Abre en enero.,,Alameda 202 Nº 82 e/ Avenida Buenos Aires y Pinar Norte,(02255) 46-8365,5491150525318,112
VG,Apart Hotel,Las Terrazas  ,Si,Abierto todo el año,,Paseo 110 Nº 371,,5492267513137 / 5492255408261,36
CM,Departamentos con servicios,Aguas de Oro  ,Si,Abierto todo el año.,,Paseo 150 Nº 37,(02255) 47-7704,5491125371316,51
VG,Hotel 3*,Apolo,Si,Abierto T. A.,,Paseo 104 Nº 172 e/ Avenidas 1 y 2,(02255) 46-8761,5492255505481/ 5492255414769,85
MA,Camping,Camping de Ingenieros (C.A.A.I.T.B.A),Si,Abierto T.A.,,Mar del Plata y Calle 47,,5492215549045,2000
LG,Sin categorizar,365 Playa  ,Si,,,Calle 34 e/ Copacabana y Punta del Este,(02255) 45-3365,,12
MDLP,Cabaña,Abedul  ,Si,Abierto todo el año. ,No pedir tarifas,Santa María y Cruz del Sur,(02255) 45-5819,5491157712019,48
MDLP,Departamentos con servicios,Agapanto  ,Si,Abierto todo el año,,Querandíes e/ El Lucero y El Ceibo,(02255) 47-4457,5492216811979,48
MDLP,Apart Hotel 3* superior,Agua Bay ,Si,Abierto todo el año,,Delfín N° 33 e/ Alfonsina Storni y Virazón,(02255) 46-0496,5491154024531,88
LG,Apart Hotel,Aguamansa  ,Si,"Cerro 04/05, deja abierto desde las vacaiones hasta la temporada.",,Calle 31 entre Mar del Plata y Punta del Este,(02255) 47-5218,5491141621029,20
LG,Departamentos con servicios,Dunas y Mar Club del Bosque  ,Si,,Sin contacto,Calle 42 y Mar del Plata,,,140
MDLP,Cabaña,Aike Malem ,Si,cerrado todo 2025,, Mercedes Sosa y Los Andes,(02255) 47-9868 ,5491144185722,11
MDLP,Sin categorizar,Ainjo  ,Si,,,Recalada N° 83 e/ Mercedes Sosa y J. V. González,,5492255555374,46
MDLP,Sin categorizar,Ainjo Spa ,Si,,,Recalada N° 95 e/ Mercedes Sosa y J. V. González,,5492255555374,12
MA ,Hostería,Álamos  ,Si,"Cerrado, Abre el 20/12",,Calle 35 e/ Mar del Plata y Punta del Este,(02255) 47-9630 / 31,5492255531164,38
LG,Cabaña,Alborada Cabañas  ,Si,Reabre en septiembre.,No pedir tarifas,Calle 30 e/ Mar del Plata y Mar Azul,(02255) 47-4166,5491158135156 / 5491158136153,24
LG,Cabaña,Aldea de Mar  ,Si,Abierto todo el año.,,Calle 29 y Playa,(02255) 47-2283/4/5,5492255605707,96
MDLP,Apart Hotel,Almendra ,Si,Abierto todo el año.,,Payró esquina Garay,(02255) 46-5168,5491132088663,30
LG,Sin categorizar,Alta Playa  ,Si,Abierto todo el año.,,Calle 29 y Playa,(02255) 47-5417,5491169985417,39
MDLP,Hosterías 2*,Altamar de las Pampas  ,Si,Abierto todo el año. ,,Mercedes Sosa y Victoria,(02255)  47-2775,5492255531484,37
LG,Deptos con Servicios,Altos las Gaviotas  ,Si,Abierto todo el año.,, Calle 30 e/ Mar Azul y Mar del Plata,,5491165793000,40
MDLP,Sin categorizar,Altos Médanos  ,Si,Abierto todo el año.,No pedir tarifas,Querandíes y Juan de Garay Nº 549,(02255) 45-3180,5492235314814,72
LG,Cabaña,Altué ,Si,Abre finde largo de agosto y octubre.,,Alte. Brown N° 389, (02255) 45-6200,5492267631506/ 5492255530002,40
